transfer_id	player	player_id	departure_club	arrival_club	transfer_type	amount_ME	transfer_date	agent
TR-051	Kylian Simon	J0144	Stade Rennais	Atletico Madrid	Loan with purchase option	40.9	2023-01-11	Sport Cover
TR-052	Nabil Bonnet	J0061	Girondins de Bordeaux	Olympique de Marseille	Loan	20.7 M	2023-07-20	ICM Partners
TR-053	Aurelien Fofana	J0412	RC Lens	FC Lorient	Free transfer	0	2024-06-11	ICM Partners
TR-054	Aurelien Osimhen	J0200	AS Monaco	OGC Nice	Loan with purchase option	47.7	2023-08-16	Wasserman
TR-055	Seko Diallo	J0104	AS Monaco	Chelsea	Loan with purchase option	17.0	2023-06-05	ICM Partners
TR-056	Alexandre Girard	J0077	Clermont Foot	Olympique de Marseille	Loan	40.5	2023-08-18	Sport Cover
TR-057	Ismael Toure	J0254	FC Nantes	Manchester City	Free transfer	0	2024-06-07	Unique Sports
TR-058	Maxime Michel	J0138	Girondins de Bordeaux	Stade Rennais	Loan with purchase option	21.7	2023-08-03	Jorge Mendes
TR-059	Abdoulaye Traore	J0092	FC Barcelona	AS Monaco	Purchase	74.7M€	2023-07-17	Base Soccer
TR-060	Bradley Ndombele	J0125	RC Lens	LOSC Lille	Loan with purchase option	0.8	2023-01-29	CAA Sports
TR-061	Mathieu Bernard	J0045	Girondins de Bordeaux	Olympique Lyonnais	Loan	12.5M€	2024-01-30	Jorge Mendes
TR-062	Nabil Roux	J0308	Girondins de Bordeaux	Toulouse FC	Purchase	80.0M€	2023-01-04	Mino Raiola Agency
TR-063	Antoine Garcia	J0408	FC Lorient	Chelsea	Loan with purchase option	73.0	2023-08-15	Wasserman
TR-064	Youssef Garcia	J0528	Girondins de Bordeaux	Napoli	Loan with purchase option	24.1	2023-08-11	Unique Sports
TR-065	Ibrahima Fontaine	J0273	Juventus	Montpellier HSC	Purchase	74.5	2024-07-24	
TR-066	Florian Bonnet	J0269	FC Nantes	Montpellier HSC	Free transfer	0	2024-06-26	ICM Partners
TR-067	Ousmane Lefebvre	J0149	Tottenham	Stade Rennais	Loan	27.7 M	2024-07-20	Mino Raiola Agency
TR-068	Matheus Romero	J0196	OGC Nice	Juventus	Loan with purchase option	12.0M€	2023-01-28	Gestifute
TR-069	Theo Koulibaly	J0493	Girondins de Bordeaux	AS Saint-Etienne	Purchase	24.5 M	2023-07-12	Sport Cover
TR-070	Ousmane Mercier	J0109	Stade Rennais	LOSC Lille	Loan	43.0M€	2024-08-01	ICM Partners
TR-071	Jean-Philippe Kone	J0197	Clermont Foot	OGC Nice	Purchase	74.4M€	2024-01-09	Jorge Mendes
TR-072	Dimitri Dupont	J0358	Girondins de Bordeaux	Stade de Reims	Purchase	25.3	2024-07-02	Mino Raiola Agency
TR-073	Jonathan Morel	J0531	FC Lorient	Girondins de Bordeaux	Loan	15.7M€	2023-01-21	Jorge Mendes
TR-074	Aurelien Dembele	J0042	Borussia Dortmund	Olympique Lyonnais	Free transfer	0	2024-01-23	CAA Sports
TR-075	Felipe Fernandez	J0231	RC Strasbourg	Arsenal	Loan with purchase option	25.4M€	2024-07-22	Promoesport
TR-076	Kevin Martin	J0013	Arsenal	Paris SG	Purchase	54.2 M	2023-08-16	Stellar Group
TR-077	Kevin Chevalier	J0278	FC Lorient	Montpellier HSC	Purchase	16.2	2023-08-25	Mino Raiola Agency
TR-078	Miguel Jimenez	J0097	AS Monaco	Porto	Purchase	12.7	2024-06-21	
TR-079	Jeremy Koulibaly	J0086	Chelsea	AS Monaco	Loan with purchase option	67.5 M	2024-06-21	
TR-080	Jean-Philippe Kante	J0399	FC Lorient	Benfica	Purchase	22.1M€	2024-06-28	Promoesport
